Countries (2014),Personal,Social,Economic,Combined
Switzerland,9.414560985,8.946,8.37,8.545157987759005
Denmark,9.576249563,8.97,7.8,8.492663622592518
Netherlands,9.453057236,9.002,7.74,8.410868891011837
Canada,9.242045847,8.982999999999999,8.2,8.398501357673457
Finland,9.429483784,8.966000000000001,7.79,8.386691953883496
Ireland,9.309735975,8.892000000000001,8.09,8.350162101925248
Australia,9.286524479,8.929,8.02,8.336788397065773
Sweden,9.37160205,8.972000000000001,7.62,8.297834452778584
Norway,9.469037194,8.865,7.62,8.29373127595364
United Kingdom,9.288927336,8.857999999999999,7.94,8.266484424902705
Austria,9.49833936,8.746,7.68,8.25400639472976
New Zealand,8.999073678,8.871,8.48,8.246495506683392
Germany,9.437936035,8.781,7.67,8.232734489500956
Iceland,9.375236846,8.994,7.18,8.176877996231667
Belgium,9.249687124,8.638,7.59,7.984752511842437
Portugal,9.145314304,8.464,7.6,7.8017905457607934
United States of America,8.791764616,8.621,7.81,7.729890188464424
Czech Republic,9.158052398999999,8.231,7.46,7.612807449352571
France,8.807204426,8.568,7.36,7.564356402917691
Estonia,8.894862405,8.217,7.8,7.530492967943607
Slovenia,9.070139426,8.333,7.01,7.4790176258657555
Japan,8.668624629,8.49,7.55,7.477840434420188
Italy,9.00240629,8.187999999999999,7.25,7.412324346139991
Spain,8.523032274,8.587,7.45,7.4111126495624156
Poland,9.179983043,7.916,7.43,7.410468378346991
Latvia,8.901939117000001,7.683,7.81,7.186011549755555
"Korea, Republic of",8.566735854,8.128,7.55,7.169356058128155
Lithuania,8.817519304,7.694,7.91,7.16699291823031
Chile,8.337305266,8.154,7.84,7.120812469281153
Slovakia,8.78220357,7.86,7.44,7.105081079148819
Cyprus,8.731766998,7.896,7.44,7.094408851360087
Hungary,8.540359036,7.875,7.36,6.92479204953
Costa Rica,8.260703251,8.08,7.5,6.913071477676285
Uruguay,8.57902392,7.832999999999999,7.12,6.848217768402936
Croatia,8.492827903,7.5889999999999995,7.01,6.5938389732608
